mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
30.633000000000003,0.912,0.7040000000000001,0.107,0.218,0.129,1.158,0.20199999999999999,0.0
27.366999999999997,0.9209999999999999,0.763,0.11599999999999999,0.203,0.11199999999999999,1.194,0.212,0.0
30.066999999999997,0.912,0.73,0.12,0.228,0.11900000000000001,1.197,0.214,0.0
25.833000000000002,0.91,0.6559999999999999,0.113,0.225,0.11699999999999999,1.11,0.192,0.0
28.9,0.905,0.895,0.11699999999999999,0.233,0.11900000000000001,1.364,0.205,0.0
29.666999999999998,0.893,0.677,0.10400000000000001,0.243,0.113,1.136,0.207,0.0
26.133000000000003,0.9229999999999999,0.698,0.10400000000000001,0.209,0.109,1.119,0.196,0.0
30.4,0.9209999999999999,0.581,0.105,0.218,0.11199999999999999,1.016,0.215,0.0
27.2,0.914,0.636,0.105,0.20199999999999999,0.092,1.035,0.217,0.0
28.133000000000003,0.91,0.5710000000000001,0.10400000000000001,0.22,0.102,0.998,0.209,0.0
26.0,0.895,0.605,0.107,0.259,0.11699999999999999,1.089,0.20199999999999999,0.0
27.467,0.9209999999999999,0.603,0.102,0.21100000000000002,0.109,1.024,0.198,0.0
28.767,0.9059999999999999,0.713,0.102,0.222,0.1,1.137,0.21100000000000002,0.0
28.866999999999997,0.907,0.523,0.09699999999999999,0.24600000000000002,0.10099999999999999,0.968,0.203,0.0
26.733,0.929,0.534,0.106,0.20199999999999999,0.08900000000000001,0.93,0.20800000000000002,0.0
27.933000000000003,0.9179999999999999,0.48200000000000004,0.099,0.205,0.102,0.889,0.207,0.0
27.166999999999998,0.927,0.537,0.102,0.191,0.078,0.9079999999999999,0.209,0.0
25.767,0.927,0.526,0.099,0.196,0.096,0.9179999999999999,0.19699999999999998,0.0
24.366999999999997,0.9209999999999999,0.498,0.098,0.18899999999999997,0.09,0.8740000000000001,0.20199999999999999,0.0
29.933000000000003,0.924,0.534,0.09300000000000001,0.2,0.085,0.9129999999999999,0.215,0.0
24.5,0.9279999999999999,0.705,0.10300000000000001,0.203,0.09699999999999999,1.1079999999999999,0.21100000000000002,0.0
26.333000000000002,0.9279999999999999,0.605,0.1,0.2,0.087,0.992,0.203,0.0
26.033,0.902,0.539,0.095,0.239,0.083,0.956,0.209,0.0
26.533,0.9109999999999999,0.609,0.094,0.21899999999999997,0.08199999999999999,1.005,0.198,0.0
25.333000000000002,0.934,0.606,0.099,0.18,0.07,0.9540000000000001,0.209,0.0
26.733,0.9259999999999999,0.514,0.106,0.179,0.077,0.875,0.196,0.0
26.8,0.9279999999999999,0.669,0.09300000000000001,0.185,0.081,1.028,0.204,0.0
25.767,0.934,0.579,0.096,0.183,0.068,0.9259999999999999,0.207,0.0
25.433000000000003,0.925,0.48700000000000004,0.09300000000000001,0.184,0.09300000000000001,0.857,0.19699999999999998,0.0
29.666999999999998,0.899,0.48200000000000004,0.092,0.243,0.107,0.924,0.22399999999999998,0.0
26.166999999999998,0.9229999999999999,0.462,0.09300000000000001,0.196,0.076,0.826,0.20199999999999999,0.0
26.7,0.9259999999999999,0.385,0.09699999999999999,0.182,0.079,0.743,0.21,0.0
25.1,0.925,0.451,0.095,0.187,0.075,0.8079999999999999,0.20800000000000002,0.0
25.533,0.9359999999999999,0.434,0.08900000000000001,0.17600000000000002,0.078,0.777,0.198,0.0
26.933000000000003,0.934,0.48700000000000004,0.08800000000000001,0.172,0.08,0.8270000000000001,0.209,0.0
26.9,0.9259999999999999,0.536,0.08900000000000001,0.201,0.084,0.91,0.20800000000000002,0.0
26.733,0.935,0.418,0.094,0.16399999999999998,0.07,0.746,0.204,0.0
24.967,0.929,0.401,0.10099999999999999,0.159,0.063,0.725,0.193,0.0
24.0,0.9359999999999999,0.6729999999999999,0.09300000000000001,0.18,0.07,1.016,0.21,0.0
28.8,0.919,0.491,0.08800000000000001,0.20800000000000002,0.064,0.852,0.209,0.0
28.967,0.932,0.43200000000000005,0.08900000000000001,0.17,0.08800000000000001,0.78,0.20600000000000002,0.0
25.733,0.929,0.431,0.09,0.16,0.069,0.7490000000000001,0.19699999999999998,0.0
21.7,0.9520000000000001,0.40399999999999997,0.08900000000000001,0.136,0.065,0.693,0.192,0.0
24.2,0.948,0.37200000000000005,0.084,0.161,0.061,0.6779999999999999,0.205,0.0
25.633000000000003,0.9359999999999999,0.506,0.092,0.175,0.079,0.852,0.21100000000000002,0.0
25.733,0.945,0.488,0.076,0.15,0.059000000000000004,0.773,0.198,0.0
25.2,0.927,0.45899999999999996,0.092,0.191,0.066,0.8079999999999999,0.20800000000000002,0.0
25.8,0.953,0.48100000000000004,0.09300000000000001,0.138,0.073,0.784,0.204,0.0
24.133000000000003,0.938,0.503,0.092,0.155,0.069,0.8190000000000001,0.198,0.0
27.533,0.9390000000000001,0.507,0.08199999999999999,0.179,0.067,0.835,0.19899999999999998,0.0
25.133000000000003,0.9490000000000001,0.397,0.083,0.155,0.069,0.703,0.20600000000000002,0.0
24.833000000000002,0.9420000000000001,0.486,0.087,0.152,0.064,0.789,0.2,0.0
20.433,0.953,0.4,0.087,0.15,0.057999999999999996,0.696,0.18899999999999997,0.0
26.033,0.946,0.299,0.083,0.14300000000000002,0.077,0.601,0.209,0.0
24.833000000000002,0.9440000000000001,0.45899999999999996,0.084,0.135,0.066,0.7440000000000001,0.20800000000000002,0.0
23.7,0.946,0.433,0.083,0.161,0.069,0.745,0.204,0.0
26.666999999999998,0.94,0.359,0.09,0.128,0.055999999999999994,0.633,0.212,0.0
22.2,0.956,0.506,0.08199999999999999,0.127,0.057999999999999996,0.773,0.19699999999999998,0.0
23.666999999999998,0.941,0.261,0.085,0.151,0.067,0.564,0.19699999999999998,0.0
