mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
14.033,0.883,1.663,0.173,0.263,0.139,2.238,0.085,0.0
12.333,0.874,1.217,0.174,0.262,0.129,1.783,0.084,0.0
12.633,0.888,1.073,0.136,0.248,0.15,1.606,0.082,0.0
13.633,0.884,1.031,0.224,0.262,0.151,1.667,0.09,0.0
12.1,0.895,0.909,0.09,0.257,0.132,1.388,0.081,0.0
11.933,0.888,0.653,0.148,0.264,0.14,1.205,0.084,0.0
11.633,0.871,1.062,0.177,0.285,0.193,1.716,0.086,0.0
13.6,0.884,0.605,0.192,0.258,0.132,1.187,0.087,0.0
14.1,0.875,0.486,0.123,0.271,0.14,1.02,0.085,0.0
13.567,0.883,1.208,0.136,0.254,0.116,1.714,0.085,0.0
11.633,0.855,1.392,0.149,0.312,0.147,2.0,0.084,0.0
13.5,0.89,1.641,0.146,0.256,0.135,2.178,0.086,0.0
11.667,0.895,0.714,0.168,0.238,0.15,1.271,0.085,0.0
11.967,0.892,0.356,0.128,0.256,0.164,0.905,0.082,0.0
11.967,0.89,1.173,0.187,0.256,0.15,1.766,0.085,0.0
12.1,0.888,0.693,0.135,0.261,0.161,1.249,0.082,0.0
14.167,0.885,1.971,0.151,0.26,0.132,2.515,0.086,0.0
14.833,0.907,1.429,0.167,0.219,0.127,1.943,0.085,0.0
13.433,0.876,0.25,0.121,0.252,0.148,0.77,0.083,0.0
11.633,0.885,0.917,0.093,0.266,0.148,1.424,0.082,0.0
13.967,0.878,0.971,0.173,0.285,0.137,1.566,0.084,0.0
12.4,0.897,0.866,0.177,0.236,0.135,1.415,0.086,0.0
13.533,0.907,1.119,0.115,0.214,0.113,1.56,0.083,0.0
11.733,0.895,0.945,0.168,0.239,0.133,1.486,0.084,0.0
13.267,0.879,0.292,0.161,0.284,0.145,0.882,0.084,0.0
11.233,0.895,0.626,0.198,0.267,0.132,1.223,0.084,0.0
12.033,0.885,1.117,0.144,0.285,0.153,1.699,0.085,0.0
13.3,0.894,0.804,0.177,0.246,0.124,1.35,0.085,0.0
12.433,0.901,1.414,0.139,0.228,0.156,1.936,0.083,0.0
13.633,0.883,1.18,0.163,0.251,0.118,1.713,0.085,0.0
13.533,0.883,0.902,0.168,0.263,0.126,1.459,0.086,0.0
14.367,0.894,0.981,0.136,0.241,0.119,1.478,0.083,0.0
12.633,0.876,0.318,0.098,0.273,0.129,0.819,0.082,0.0
12.4,0.884,0.948,0.16,0.274,0.142,1.525,0.083,0.0
14.333,0.88,0.715,0.135,0.264,0.155,1.27,0.085,0.0
14.267,0.878,0.653,0.164,0.252,0.104,1.172,0.084,0.0
12.2,0.87,0.741,0.129,0.285,0.146,1.3,0.085,0.0
13.733,0.886,0.651,0.177,0.259,0.154,1.24,0.085,0.0
10.867,0.873,0.917,0.192,0.277,0.14,1.527,0.083,0.0
13.133,0.875,0.716,0.13,0.278,0.171,1.295,0.083,0.0
12.4,0.886,0.784,0.141,0.246,0.129,1.299,0.082,0.0
14.5,0.879,0.925,0.153,0.272,0.14,1.491,0.086,0.0
12.233,0.886,0.704,0.123,0.256,0.136,1.219,0.084,0.0
14.3,0.891,0.676,0.116,0.282,0.154,1.228,0.084,0.0
13.5,0.9,0.443,0.145,0.222,0.105,0.915,0.085,0.0
13.933,0.915,0.653,0.149,0.205,0.122,1.13,0.084,0.0
11.167,0.873,0.841,0.136,0.278,0.175,1.43,0.083,0.0
13.467,0.884,0.498,0.161,0.264,0.14,1.062,0.082,0.0
13.733,0.874,0.972,0.131,0.291,0.154,1.546,0.084,0.0
12.9,0.883,1.119,0.18,0.261,0.12,1.68,0.085,0.0
12.867,0.874,1.158,0.113,0.272,0.149,1.692,0.084,0.0
13.533,0.872,0.948,0.127,0.281,0.141,1.498,0.084,0.0
13.4,0.902,0.443,0.147,0.226,0.109,0.925,0.084,0.0
13.133,0.866,1.323,0.126,0.292,0.163,1.903,0.083,0.0
11.9,0.89,0.857,0.158,0.241,0.111,1.367,0.085,0.0
13.833,0.888,0.481,0.115,0.235,0.116,0.947,0.085,0.0
12.033,0.879,1.624,0.118,0.257,0.138,2.138,0.084,0.0
13.667,0.879,1.305,0.113,0.254,0.115,1.787,0.084,0.0
12.5,0.878,0.84,0.131,0.283,0.141,1.396,0.083,0.0
13.633,0.867,0.919,0.194,0.299,0.133,1.544,0.087,0.0
11.767,0.895,1.559,0.15,0.257,0.126,2.092,0.083,0.0
12.933,0.864,0.591,0.214,0.295,0.164,1.263,0.084,0.0
11.533,0.862,1.245,0.137,0.3,0.155,1.838,0.085,0.0
12.767,0.895,0.797,0.145,0.246,0.136,1.324,0.086,0.0
12.867,0.911,1.033,0.18,0.236,0.114,1.563,0.085,0.0
12.767,0.889,0.699,0.136,0.255,0.133,1.223,0.083,0.0
11.8,0.893,0.607,0.119,0.245,0.117,1.088,0.084,0.0
12.067,0.885,1.747,0.101,0.244,0.123,2.214,0.083,0.0
14.367,0.902,1.072,0.162,0.235,0.128,1.597,0.088,0.0
